2022-01-28 14:48:38.582622 Read holding register for device ID 15 , Start address = 300 Quantity = 24
2022-01-28 14:48:38.636883  * Response 1 from device ID 15 , data = 0
2022-01-28 14:48:38.636883  * Response 2 from device ID 15 , data = 0
2022-01-28 14:48:38.636883  * Response 3 from device ID 15 , data = 128
2022-01-28 14:48:38.636883  * Response 4 from device ID 15 , data = 450
2022-01-28 14:48:38.636883  * Response 5 from device ID 15 , data = 10948
2022-01-28 14:48:38.636883  * Response 6 from device ID 15 , data = 492
2022-01-28 14:48:38.636883  * Response 7 from device ID 15 , data = 0
2022-01-28 14:48:38.636883  * Response 8 from device ID 15 , data = 2503
2022-01-28 14:48:38.636883  * Response 9 from device ID 15 , data = 0
2022-01-28 14:48:38.636883  * Response 10 from device ID 15 , data = 0
2022-01-28 14:48:38.636883  * Response 11 from device ID 15 , data = 2056
2022-01-28 14:48:38.636883  * Response 12 from device ID 15 , data = 0
2022-01-28 14:48:38.636883  * Response 13 from device ID 15 , data = 10
2022-01-28 14:48:38.636883  * Response 14 from device ID 15 , data = 30
2022-01-28 14:48:38.636883  * Response 15 from device ID 15 , data = 0
2022-01-28 14:48:38.636883  * Response 16 from device ID 15 , data = 0
2022-01-28 14:48:38.636883  * Response 17 from device ID 15 , data = 16
2022-01-28 14:48:38.636883  * Response 18 from device ID 15 , data = 22595
2022-01-28 14:48:38.636883  * Response 19 from device ID 15 , data = 0
2022-01-28 14:48:38.636883  * Response 20 from device ID 15 , data = 0
2022-01-28 14:48:38.636883  * Response 21 from device ID 15 , data = 13
2022-01-28 14:48:38.636883  * Response 22 from device ID 15 , data = 52064
2022-01-28 14:48:38.636883  * Response 23 from device ID 15 , data = 40
2022-01-28 14:48:38.636883  * Response 24 from device ID 15 , data = 9900
2022-01-28 14:48:43.583225 Read holding register for device ID 15 , Start address = 300 Quantity = 24
2022-01-28 14:48:43.636696  * Response 1 from device ID 15 , data = 0
2022-01-28 14:48:43.636696  * Response 2 from device ID 15 , data = 0
2022-01-28 14:48:43.636696  * Response 3 from device ID 15 , data = 128
2022-01-28 14:48:43.636696  * Response 4 from device ID 15 , data = 450
2022-01-28 14:48:43.636696  * Response 5 from device ID 15 , data = 10948
2022-01-28 14:48:43.636696  * Response 6 from device ID 15 , data = 492
2022-01-28 14:48:43.636696  * Response 7 from device ID 15 , data = 0
2022-01-28 14:48:43.636696  * Response 8 from device ID 15 , data = 2503
2022-01-28 14:48:43.636696  * Response 9 from device ID 15 , data = 0
2022-01-28 14:48:43.636696  * Response 10 from device ID 15 , data = 0
2022-01-28 14:48:43.636696  * Response 11 from device ID 15 , data = 2056
2022-01-28 14:48:43.636696  * Response 12 from device ID 15 , data = 0
2022-01-28 14:48:43.636696  * Response 13 from device ID 15 , data = 10
2022-01-28 14:48:43.636696  * Response 14 from device ID 15 , data = 30
2022-01-28 14:48:43.636696  * Response 15 from device ID 15 , data = 0
2022-01-28 14:48:43.636696  * Response 16 from device ID 15 , data = 0
2022-01-28 14:48:43.636696  * Response 17 from device ID 15 , data = 16
2022-01-28 14:48:43.636696  * Response 18 from device ID 15 , data = 22595
2022-01-28 14:48:43.636696  * Response 19 from device ID 15 , data = 0
2022-01-28 14:48:43.636696  * Response 20 from device ID 15 , data = 0
2022-01-28 14:48:43.636696  * Response 21 from device ID 15 , data = 13
2022-01-28 14:48:43.636696  * Response 22 from device ID 15 , data = 52064
2022-01-28 14:48:43.636696  * Response 23 from device ID 15 , data = 40
2022-01-28 14:48:43.636696  * Response 24 from device ID 15 , data = 9900
2022-01-28 14:48:48.583498 Read holding register for device ID 15 , Start address = 300 Quantity = 24
2022-01-28 14:48:48.639285  * Response 1 from device ID 15 , data = 0
2022-01-28 14:48:48.639285  * Response 2 from device ID 15 , data = 0
2022-01-28 14:48:48.639285  * Response 3 from device ID 15 , data = 128
2022-01-28 14:48:48.639285  * Response 4 from device ID 15 , data = 450
2022-01-28 14:48:48.639285  * Response 5 from device ID 15 , data = 10948
2022-01-28 14:48:48.639285  * Response 6 from device ID 15 , data = 492
2022-01-28 14:48:48.639285  * Response 7 from device ID 15 , data = 0
2022-01-28 14:48:48.639285  * Response 8 from device ID 15 , data = 2503
2022-01-28 14:48:48.639285  * Response 9 from device ID 15 , data = 19
2022-01-28 14:48:48.639285  * Response 10 from device ID 15 , data = 0
2022-01-28 14:48:48.639285  * Response 11 from device ID 15 , data = 2056
2022-01-28 14:48:48.639285  * Response 12 from device ID 15 , data = 0
2022-01-28 14:48:48.639285  * Response 13 from device ID 15 , data = 10
2022-01-28 14:48:48.639285  * Response 14 from device ID 15 , data = 30
2022-01-28 14:48:48.639285  * Response 15 from device ID 15 , data = 0
2022-01-28 14:48:48.639285  * Response 16 from device ID 15 , data = 0
2022-01-28 14:48:48.639285  * Response 17 from device ID 15 , data = 16
2022-01-28 14:48:48.639285  * Response 18 from device ID 15 , data = 22595
2022-01-28 14:48:48.639285  * Response 19 from device ID 15 , data = 0
2022-01-28 14:48:48.639285  * Response 20 from device ID 15 , data = 0
2022-01-28 14:48:48.639285  * Response 21 from device ID 15 , data = 13
2022-01-28 14:48:48.639285  * Response 22 from device ID 15 , data = 52064
2022-01-28 14:48:48.639285  * Response 23 from device ID 15 , data = 40
2022-01-28 14:48:48.639285  * Response 24 from device ID 15 , data = 9900
2022-01-28 14:48:53.584614 Read holding register for device ID 15 , Start address = 300 Quantity = 24
2022-01-28 14:48:53.639356  * Response 1 from device ID 15 , data = 0
2022-01-28 14:48:53.639356  * Response 2 from device ID 15 , data = 0
2022-01-28 14:48:53.639356  * Response 3 from device ID 15 , data = 128
2022-01-28 14:48:53.639356  * Response 4 from device ID 15 , data = 450
2022-01-28 14:48:53.639356  * Response 5 from device ID 15 , data = 10948
2022-01-28 14:48:53.639356  * Response 6 from device ID 15 , data = 492
2022-01-28 14:48:53.639356  * Response 7 from device ID 15 , data = 0
