2022-01-29 18:26:57.785304 Read holding register for device ID 15 , Start address = 300 Quantity = 24
2022-01-29 18:26:57.832179  * Response 1 from device ID 15 , data = 0
2022-01-29 18:26:57.832179  * Response 2 from device ID 15 , data = 0
2022-01-29 18:26:57.832179  * Response 3 from device ID 15 , data = 128
2022-01-29 18:26:57.832179  * Response 4 from device ID 15 , data = 470
2022-01-29 18:26:57.832179  * Response 5 from device ID 15 , data = 10948
2022-01-29 18:26:57.832179  * Response 6 from device ID 15 , data = 514
2022-01-29 18:26:57.832179  * Response 7 from device ID 15 , data = 0
2022-01-29 18:26:57.832179  * Response 8 from device ID 15 , data = 2505
2022-01-29 18:26:57.832179  * Response 9 from device ID 15 , data = 0
2022-01-29 18:26:57.832179  * Response 10 from device ID 15 , data = 0
2022-01-29 18:26:57.832179  * Response 11 from device ID 15 , data = 2058
2022-01-29 18:26:57.832179  * Response 12 from device ID 15 , data = 0
2022-01-29 18:26:57.832179  * Response 13 from device ID 15 , data = 60
2022-01-29 18:26:57.832179  * Response 14 from device ID 15 , data = 70
2022-01-29 18:26:57.832179  * Response 15 from device ID 15 , data = 0
2022-01-29 18:26:57.832179  * Response 16 from device ID 15 , data = 0
2022-01-29 18:26:57.832179  * Response 17 from device ID 15 , data = 16
2022-01-29 18:26:57.832179  * Response 18 from device ID 15 , data = 22741
2022-01-29 18:26:57.832179  * Response 19 from device ID 15 , data = 0
2022-01-29 18:26:57.832179  * Response 20 from device ID 15 , data = 0
2022-01-29 18:26:57.832179  * Response 21 from device ID 15 , data = 13
2022-01-29 18:26:57.832179  * Response 22 from device ID 15 , data = 52064
2022-01-29 18:26:57.832179  * Response 23 from device ID 15 , data = 100
2022-01-29 18:26:57.832179  * Response 24 from device ID 15 , data = 9900
2022-01-29 18:27:02.005388 Read holding register for device ID 15 , Start address = 401 Quantity = 1
2022-01-29 18:27:02.005388  * Response 1 from device ID 15 , data = 255
2022-01-29 18:27:02.067530 Write multiple registers for device ID  15 , Start address = 401 Quantity = 1
2022-01-29 18:27:02.067530  * Write command 0 : ff
2022-01-29 18:27:02.067530  * Write command 1 : 0
2022-01-29 18:27:02.786871 Read holding register for device ID 15 , Start address = 300 Quantity = 24
2022-01-29 18:27:02.833383  * Response 1 from device ID 15 , data = 0
2022-01-29 18:27:02.833383  * Response 2 from device ID 15 , data = 0
2022-01-29 18:27:02.833383  * Response 3 from device ID 15 , data = 128
2022-01-29 18:27:02.833383  * Response 4 from device ID 15 , data = 470
2022-01-29 18:27:02.833383  * Response 5 from device ID 15 , data = 10948
2022-01-29 18:27:02.833383  * Response 6 from device ID 15 , data = 514
2022-01-29 18:27:02.833383  * Response 7 from device ID 15 , data = 0
2022-01-29 18:27:02.833383  * Response 8 from device ID 15 , data = 2505
2022-01-29 18:27:02.833383  * Response 9 from device ID 15 , data = 0
2022-01-29 18:27:02.833383  * Response 10 from device ID 15 , data = 0
2022-01-29 18:27:02.833383  * Response 11 from device ID 15 , data = 2058
2022-01-29 18:27:02.833383  * Response 12 from device ID 15 , data = 0
2022-01-29 18:27:02.833383  * Response 13 from device ID 15 , data = 60
2022-01-29 18:27:02.833383  * Response 14 from device ID 15 , data = 70
2022-01-29 18:27:02.833383  * Response 15 from device ID 15 , data = 0
2022-01-29 18:27:02.833383  * Response 16 from device ID 15 , data = 0
