2022-01-29 20:05:12.461176 Read holding register for device ID 15 , Start address = 401 Quantity = 1
2022-01-29 20:05:12.461176  * Response 1 from device ID 15 , data = 65280
2022-01-29 20:05:12.523633 Write multiple registers for device ID  15 , Start address = 401 Quantity = 1
2022-01-29 20:05:12.538937  * Write command 0 : 0
2022-01-29 20:05:12.538937  * Write command 1 : ff
2022-01-29 20:05:15.243251 Read holding register for device ID 15 , Start address = 300 Quantity = 24
2022-01-29 20:05:15.290196  * Response 1 from device ID 15 , data = 0
2022-01-29 20:05:15.290196  * Response 2 from device ID 15 , data = 0
2022-01-29 20:05:15.290196  * Response 3 from device ID 15 , data = 128
2022-01-29 20:05:15.290196  * Response 4 from device ID 15 , data = 470
2022-01-29 20:05:15.290196  * Response 5 from device ID 15 , data = 10948
2022-01-29 20:05:15.290196  * Response 6 from device ID 15 , data = 514
2022-01-29 20:05:15.290196  * Response 7 from device ID 15 , data = 0
2022-01-29 20:05:15.290196  * Response 8 from device ID 15 , data = 8348
2022-01-29 20:05:15.290196  * Response 9 from device ID 15 , data = 0
2022-01-29 20:05:15.290196  * Response 10 from device ID 15 , data = 0
2022-01-29 20:05:15.290196  * Response 11 from device ID 15 , data = 2057
2022-01-29 20:05:15.290196  * Response 12 from device ID 15 , data = 0
2022-01-29 20:05:15.290196  * Response 13 from device ID 15 , data = 60
2022-01-29 20:05:15.290196  * Response 14 from device ID 15 , data = 70
2022-01-29 20:05:15.290196  * Response 15 from device ID 15 , data = 0
2022-01-29 20:05:15.290196  * Response 16 from device ID 15 , data = 0
2022-01-29 20:05:15.290196  * Response 17 from device ID 15 , data = 16
2022-01-29 20:05:15.290196  * Response 18 from device ID 15 , data = 22741
2022-01-29 20:05:15.290196  * Response 19 from device ID 15 , data = 0
2022-01-29 20:05:15.290196  * Response 20 from device ID 15 , data = 0
2022-01-29 20:05:15.290196  * Response 21 from device ID 15 , data = 13
2022-01-29 20:05:15.290196  * Response 22 from device ID 15 , data = 52064
2022-01-29 20:05:15.290196  * Response 23 from device ID 15 , data = 90
2022-01-29 20:05:15.290196  * Response 24 from device ID 15 , data = 9900
2022-01-29 20:05:20.229217 Read holding register for device ID 15 , Start address = 300 Quantity = 24
2022-01-29 20:05:20.291773  * Response 1 from device ID 15 , data = 0
2022-01-29 20:05:20.291773  * Response 2 from device ID 15 , data = 0
2022-01-29 20:05:20.291773  * Response 3 from device ID 15 , data = 128
2022-01-29 20:05:20.291773  * Response 4 from device ID 15 , data = 470
2022-01-29 20:05:20.291773  * Response 5 from device ID 15 , data = 10948
2022-01-29 20:05:20.291773  * Response 6 from device ID 15 , data = 514
2022-01-29 20:05:20.291773  * Response 7 from device ID 15 , data = 0
2022-01-29 20:05:20.291773  * Response 8 from device ID 15 , data = 8348
2022-01-29 20:05:20.291773  * Response 9 from device ID 15 , data = 0
2022-01-29 20:05:20.291773  * Response 10 from device ID 15 , data = 0
2022-01-29 20:05:20.291773  * Response 11 from device ID 15 , data = 2057
2022-01-29 20:05:20.291773  * Response 12 from device ID 15 , data = 0
