2022-02-13 17:27:13.991712 Read holding register for device ID 15 , Start address = 300 Quantity = 24
2022-02-13 17:27:14.069389  * Response 1 from device ID 15 , data = 3
2022-02-13 17:27:14.069389  * Response 2 from device ID 15 , data = 0
2022-02-13 17:27:14.069389  * Response 3 from device ID 15 , data = 144
2022-02-13 17:27:14.069389  * Response 4 from device ID 15 , data = 370
2022-02-13 17:27:14.069389  * Response 5 from device ID 15 , data = 10948
2022-02-13 17:27:14.069389  * Response 6 from device ID 15 , data = 405
2022-02-13 17:27:14.069389  * Response 7 from device ID 15 , data = 0
2022-02-13 17:27:14.069389  * Response 8 from device ID 15 , data = 2500
2022-02-13 17:27:14.069389  * Response 9 from device ID 15 , data = 2043
2022-02-13 17:27:14.069389  * Response 10 from device ID 15 , data = 0
2022-02-13 17:27:14.069389  * Response 11 from device ID 15 , data = 2054
2022-02-13 17:27:14.069389  * Response 12 from device ID 15 , data = 0
2022-02-13 17:27:14.069389  * Response 13 from device ID 15 , data = 50
2022-02-13 17:27:14.069389  * Response 14 from device ID 15 , data = 70
2022-02-13 17:27:14.069389  * Response 15 from device ID 15 , data = 0
2022-02-13 17:27:14.069389  * Response 16 from device ID 15 , data = 0
2022-02-13 17:27:14.069389  * Response 17 from device ID 15 , data = 16
2022-02-13 17:27:14.069389  * Response 18 from device ID 15 , data = 24382
2022-02-13 17:27:14.069389  * Response 19 from device ID 15 , data = 0
2022-02-13 17:27:14.069389  * Response 20 from device ID 15 , data = 0
2022-02-13 17:27:14.069389  * Response 21 from device ID 15 , data = 13
2022-02-13 17:27:14.069389  * Response 22 from device ID 15 , data = 52064
2022-02-13 17:27:14.069389  * Response 23 from device ID 15 , data = 60
2022-02-13 17:27:14.069389  * Response 24 from device ID 15 , data = 9900
2022-02-13 17:27:18.995098 Read holding register for device ID 15 , Start address = 300 Quantity = 24
2022-02-13 17:27:19.073250  * Response 1 from device ID 15 , data = 3
2022-02-13 17:27:19.073250  * Response 2 from device ID 15 , data = 0
2022-02-13 17:27:19.073250  * Response 3 from device ID 15 , data = 144
2022-02-13 17:27:19.073250  * Response 4 from device ID 15 , data = 370
2022-02-13 17:27:19.073250  * Response 5 from device ID 15 , data = 10948
2022-02-13 17:27:19.073250  * Response 6 from device ID 15 , data = 405
2022-02-13 17:27:19.073250  * Response 7 from device ID 15 , data = 0
2022-02-13 17:27:19.073250  * Response 8 from device ID 15 , data = 2500
2022-02-13 17:27:19.073250  * Response 9 from device ID 15 , data = 2043
2022-02-13 17:27:19.073250  * Response 10 from device ID 15 , data = 20
2022-02-13 17:27:19.073250  * Response 11 from device ID 15 , data = 2054
2022-02-13 17:27:19.073250  * Response 12 from device ID 15 , data = 20
2022-02-13 17:27:19.073250  * Response 13 from device ID 15 , data = 50
2022-02-13 17:27:19.073250  * Response 14 from device ID 15 , data = 70
2022-02-13 17:27:19.073250  * Response 15 from device ID 15 , data = 0
2022-02-13 17:27:19.073250  * Response 16 from device ID 15 , data = 0
2022-02-13 17:27:19.073250  * Response 17 from device ID 15 , data = 16
2022-02-13 17:27:19.073250  * Response 18 from device ID 15 , data = 24382
2022-02-13 17:27:19.073250  * Response 19 from device ID 15 , data = 0
2022-02-13 17:27:19.073250  * Response 20 from device ID 15 , data = 0
2022-02-13 17:27:19.073250  * Response 21 from device ID 15 , data = 13
2022-02-13 17:27:19.073250  * Response 22 from device ID 15 , data = 52064
2022-02-13 17:27:19.073250  * Response 23 from device ID 15 , data = 70
2022-02-13 17:27:19.073250  * Response 24 from device ID 15 , data = 9900
2022-02-13 17:27:19.339333 Read holding register for device ID 15 , Start address = 1000 Quantity = 100
2022-02-13 17:27:19.573770  * Response 1 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 2 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 3 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 4 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 5 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 6 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 7 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 8 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 9 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 10 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 11 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 12 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 13 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 14 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 15 from device ID 15 , data = 0
2022-02-13 17:27:19.573770  * Response 16 from device ID 15 , data = 0
